,asex_alt,asex_mix,omega1,omega2,rf1,rf2,sex_alt,sex_mix,theta1,theta2
108,10.0,11.0,0.55,1.0,0.0001,1e-05,10.0,13.0,10.0,9.6
109,10.0,10.0,0.55,1.0,0.0001,1e-05,10.0,13.0,12.0,9.6
110,9.0,11.0,0.7,1.0,0.0001,1e-05,9.0,14.0,4.0,9.6
111,10.0,11.0,0.7,1.0,0.0001,1e-05,10.0,14.0,6.0,9.6
112,10.0,10.0,0.7,1.0,0.0001,1e-05,10.0,14.0,8.0,9.6
113,10.0,11.0,0.7,1.0,0.0001,1e-05,10.0,14.0,10.0,9.6
114,10.0,10.0,0.7,1.0,0.0001,1e-05,10.0,14.0,12.0,9.6
115,10.0,11.0,0.85,1.0,0.0001,1e-05,10.0,15.0,4.0,9.6
116,10.0,10.0,0.85,1.0,0.0001,1e-05,10.0,15.0,6.0,9.6
117,10.0,10.0,0.85,1.0,0.0001,1e-05,10.0,15.0,8.0,9.6
118,10.0,11.0,0.85,1.0,0.0001,1e-05,10.0,16.0,10.0,9.6
119,10.0,10.0,0.85,1.0,0.0001,1e-05,10.0,16.0,12.0,9.6
120,10.0,11.0,1.0,1.0,0.0001,1e-05,10.0,16.0,4.0,9.6
121,10.0,11.0,1.0,1.0,0.0001,1e-05,10.0,17.0,6.0,9.6
122,10.0,11.0,1.0,1.0,0.0001,1e-05,10.0,18.0,8.0,9.6
123,10.0,10.0,1.0,1.0,0.0001,1e-05,10.0,18.0,10.0,9.6
124,10.0,10.0,1.0,1.0,0.0001,1e-05,10.0,18.0,12.0,9.6
